1063,,,,,
ID,name,condition,mu,sigma,bad_fit
0,sf01.00,1,6.463,0.008,0
1,sf02.00,2,2.547,0.157,0
2,sf03.00,3,1.406,0.221,0
3,sf04.00,4,1.372,0.325,0
4,sf05.00,5,3.214,0.283,0
5,sf06.00,6,1.598,0.838,0
6,sf07.00,7,1.617,1.492,0
7,sf08.00,8,4.313,0.019,0
8,sf12.00,12,10.335,0.062,0
