1063,,,,,
ID,name,condition,mu,sigma,bad_fit
0,sf01.00,1,6.471,0,0
1,sf02.00,2,1.563,0.028,0
2,sf03.00,3,0.959,0.024,0
3,sf04.00,4,1.471,0.014,1
4,sf05.00,5,3.642,1.071,0
5,sf06.00,6,3.605,0.006,0
6,sf07.00,7,3.708,0.451,0
7,sf08.00,8,5.525,0.005,0
8,sf12.00,12,11.593,0.034,0
