1061,,,,,
ID,name,condition,mu,sigma,bad_fit
0,sf01.00,1,1.539,0.317,0
1,sf02.00,2,1.885,0.03,0
2,sf03.00,3,1.644,0.13,0
3,sf04.00,4,2.956,0.281,0
4,sf05.00,5,3.687,0.371,0
5,sf06.00,6,4.524,0.061,0
6,sf07.00,7,6.085,0.034,0
7,sf08.00,8,7.373,0.008,0
8,sf12.00,12,14.707,0.079,0
