1066,,,,,
ID,name,condition,mu,sigma,bad_fit
0,sf01.00,1,4.291,0.002,0
1,sf02.00,2,3.635,0.002,0
2,sf03.00,3,3.636,0.005,0
3,sf04.00,4,1.297,0.776,0
4,sf05.00,5,4.016,0.123,0
5,sf06.00,6,3.53,0.005,0
6,sf07.00,7,8.269,0.481,0
7,sf08.00,8,7.257,0.108,0
8,sf12.00,12,24.95,0.003,0
