1061,,,,,
ID,name,condition,mu,sigma,bad_fit
0,sf01.00,1,9.098,0.016,0
1,sf02.00,2,6.852,0.001,0
2,sf03.00,3,9.185,0,0
3,sf04.00,4,6.044,0.065,0
4,sf05.00,5,4.966,0.519,0
5,sf06.00,6,6.852,0.001,0
6,sf07.00,7,8.788,0.001,0
7,sf08.00,8,9.834,0.033,0
8,sf12.00,12,33.126,0.238,0
